"cov","dr","ds","t","lspos","text"
"CN",  191.7,1664,"Nt","C","LC"
"CO",    0.0,1899,"Nt","B","L"
"CC",   34.8,1011,"Nt","A","LC"
"CC",  255.6, 889,"Nt","C","LC"
"CN",  662.1,1609,"Nt","C","LC"
"CN",  975.7,2036,"Nt","C","LC"
"CC",  101.6,2100,"Nt","C","LC"
"CN",  871.2,1255,"Nt","C","LC"
"CC",  583.7, 563,"Nt","C","LC"
"CC",  371.7, 723,"Nt","C","LC"
"CN", 1132.6,1211,"Nt","A","L'"
"NN",  174.2,2126,"Nt","A","L"
"CO",  798.6,2727,"Nt","A","L"
"CO", 1086.1,1754,"Nt","A","L'"
"NN",  133.6,1013,"Nt","A","L'"
"NN",  818.9,1031,"Nt","A","L'"
"CO", 1460.7,1086,"Nt","A","L"
"CO", 1576.9, 865,"Nt","A","L"
"NN", 1454.9,1112,"CA","B","L'"
"CO", 1071.6,1333,"CA","A","L'"
"OO",  752.1,1969,"CA","B","L"
"CO",   55.2,1957,"Nt","B","L"
"CN",  868.3, 999,"Nt","B","L"
"CC", 1701.7, 276,"Nt","B","L"
"CC", 1176.1,1144,"Nt","B","L"
"NN",  217.8, 485,"Nt","B","L"
"CC",  667.9, 616,"Nt","B","L"
"CO",  156.8,1098,"Nt","B","L"
"CN",   14.5, 287,"Nt","B","L"
"CO",  374.6,1054,"Nt","B","L"
"CC",   34.8, 253,"Nt","B","L"
"CO",  290.4, 958,"Nt","B","L"
"CN",  421.1, 848,"Nt","B","L"
"CN",   55.2, 656,"Nt","B","L"
"CC",  203.3, 395,"Nt","A","L'"
"CN",  604.0,1368,"Nt","B","L"
"CN",  148.1,1719,"Nt","A","L'"
"NN", 1086.1,1832,"Nt","A","L'"
"NO", 1129.7,2222,"Nt","B","L"
"CN",  609.8,1679,"Nt","B","L"
"CN",  153.9, 720,"Nt","A","LC"
"CC",   40.7, 415,"Nt","C","LC"
"CN",  252.6,1388,"Nt","C","LC"
"CN",  551.8,1077,"Nt","C","LC"
"CN",  374.6,1141,"Nt","C","LC"
"CC", 1074.5,1591,"Nt","C","LC"
"CC",  217.8, 729,"Nt","C","LC"
"CC",  726.0, 793,"Nt","C","LC"
"OO",  949.6,1557,"Nt","A","L'"
"CO",    0.0,1557,"Nt","A","L'"
"CN",  839.3,1998,"Nt","A","L"
"CO",  699.9,2355,"Nt","A","L'"
"CO",  243.9,1972,"Nt","A","L'"
"CN", 1211.0,1989,"Nt","A","L'"
"CC", 1823.7, 227,"CA","B","L'"
"CO", 1016.4, 778,"CA","B","L"
"CN",  217.8, 996,"Nt","B","L"
"CO",  609.8,1664,"Nt","B","L"
"CC", 1402.6,1191,"Nt","B","L"
"CN", 1582.7, 755,"Nt","B","L"
"CN",  940.9,1336,"Nt","B","L"
"CC",   40.7, 389,"Nt","B","L"
"NC",  778.3, 723,"Nt","B","L"
"CN",  618.6,1376,"Nt","B","L"
"CN",  252.6,1260,"Nt","B","L"
"CC",  964.1,1615,"Nt","B","L"
"CO",  145.2,1225,"Nt","B","L"
"NC",  159.7, 897,"Nt","B","L"
"CO",  740.5, 569,"Nt","B","L"
"CC", 1022.2,1101,"Nt","B","L"
"CN",  499.5, 996,"Nt","B","L"
"CC",  444.3, 543,"Nt","A","L'"
"CN",  505.3, 921,"Nt","B","L"
"CN", 1463.6,1249,"Nt","A","L'"
"CO", 1658.2,1580,"Nt","B","L"
"NN",  699.9,1385,"Nt","B","L"
"NN",  238.1,1432,"Nt","A","LC"
"CN",  795.7,1310,"Nt","C","LC"
"CO",  630.2,1388,"Nt","C","LC"
"CO",  156.8, 430,"Nt","C","LC"
"CN",   78.4, 590,"Nt","C","LC"
"CC",  464.6, 889,"Nt","C","LC"
"CC",  174.2, 752,"Nt","C","LC"
"CN", 1132.6,1542,"Nt","C","LC"
"CN",  624.4, 636,"Nt","C","LC"
"CO",  325.2, 636,"Nt","A","L'"
